    	"DOTA_Tooltip_ability_item_rpc_aquasteel_bracers"                                "Aquasteel Bracers"
    	"item_rpc_silverspring_gloves_amethyst1"								"Регенерация Здоровья повышает Пробития Брони и Магической Защиты на @amethyst_property1"

    	"DOTA_Tooltip_modifier_silverspring_in_puddle"							"Silverspring Puddle (Sapphire)"
    	"DOTA_Tooltip_modifier_silverspring_in_puddle_Description"				"Увеличивает регенерацию Здоровья"


    	"DOTA_Tooltip_ability_item_rpc_skulldigger_gauntlet"							"Skulldigger Gauntlet"

		"item_property_skulldigger"						"Эксгумация"
		"property_skulldigger_description"					"Каждые <% ITEM_RPC_SKULLDIGGER_GAUNTLET_STACK_RATE %> герой получает заряд Эксгумации. При получении урон заряд тратится и выпускают летающий череп, оглущающий противников и наносящий при попадании <% ITEM_RPC_SKULLDIGGER_GAUNTLET_ATTACK_POWER_TO_DAMAGE %>% от Силы Атаки героя в области <% ITEM_RPC_SKULLDIGGER_GAUNTLET_STUN_RADIUS %> в течение <% ITEM_RPC_SKULLDIGGER_GAUNTLET_STUN_DURATION %> сек. Максимально <% ITEM_RPC_SKULLDIGGER_GAUNTLET_MAX_STACKS %> зарядов Эксгумации."
		"DOTA_Tooltip_modifier_skulldigger_hellfire_stacks"	"Эксгумация"
		"DOTA_Tooltip_modifier_skulldigger_hellfire_stacks_Description"	"При получении урона запускает летающий череп в противника"

    	"item_rpc_skulldigger_gauntlet_ruby1"							"Каждый заряд Эксгумации повышает запас Здоровья на @ruby_property1, а урон черепов увеличен на @ruby_property2"
    	"item_rpc_skulldigger_gauntlet_emerald1"							"@emerald_property1% шанс не потратить заряд при срабатывании эффекта. Длительность оглушения увеличена на @emerald_property2 сек"
    	"item_rpc_skulldigger_gauntlet_sapphire1"							"Максимум зарядов Эксгумации увеличен на @sapphire_property1, а летающие черепа также срабатывают на противников, пораженных [W]"
    	"item_rpc_skulldigger_gauntlet_amethyst1"							"Обычные атаки с шансом @amethyst_property1% добавят заряд Эксгумации, и каждый заряд увеличивает Базовый Урон Атаки на @amethyst_property2"


    	"DOTA_Tooltip_ability_item_rpc_spellfire_gloves"								"Spellfire Gloves"	
		 "item_property_spellfire"								"Spellfire"
		 "property_spellfire_description"						"Скорость каста заклинаний увеличена на <% ITEM_RPC_SPELLFIRE_GLOVES_CAST_POINT_REDUCTION %>%."

    	"item_rpc_spellfire_gloves_ruby1"								"Прочтение [Q], [W] или [E] имеет шанс @ruby_property1% автоматически произнести это же заклинание через <% ITEM_RPC_SPELLFIRE_GLOVES_RUBY_DELAY %> секунды"
    	"item_rpc_spellfire_gloves_emerald1"								"Уменьшает базовую перезарядку всех способностей на @emerald_property1%"
    	"item_rpc_spellfire_gloves_sapphire1"								"Увеличивает руны T3 на @sapphire_property1"
    	"item_rpc_spellfire_gloves_amethyst1"								"Когда таймер зарядки [R] показывает @amethyst_property1, прочтение срабатывает досрочно"

    	"DOTA_Tooltip_ability_item_rpc_spirit_glove"									"Spirit Glove"

		"item_property_spirit_glove"				"Spirit Touch" 
		"property_spirit_glove_description"			"Успешное прочтение @Ability4 восстанавливает здоровье заклинателю и всем союзникамм в радиусе <% ITEM_RPC_SPIRIT_GLOVE_RADIUS %> в эквиваленте <% ITEM_RPC_SPIRIT_GLOVE_SPR_TO_HEAL %>x от Духа героя каждые <% ITEM_RPC_SPIRIT_GLOVE_HEAL_INTERVAL %> сек в течение <% ITEM_RPC_SPIRIT_GLOVE_DURATION %> секунд."
		"DOTA_Tooltip_modifier_spirit_glove_effect"	"Spirit Touch"
		"DOTA_Tooltip_modifier_spirit_glove_effect_Description"	"Восстанавливает здоровье каждые <% ITEM_RPC_SPIRIT_GLOVE_HEAL_INTERVAL %> сек."

    	"item_rpc_spirit_glove_ruby1"									"Прочтение [E] применяет Spirit Touch длительностью @ruby_property1 сек. Исцеление увеличено на @ruby_property2"
    	"item_rpc_spirit_glove_emerald1"									"Дух увеличивает Пробитие Магической Защиты на @emerald_property1"
    	"item_rpc_spirit_glove_sapphire1"									"Каждое исцеление от эффекта увеличивает Бонусную Атаку на @sapphire_property1%, складываясь <% ITEM_RPC_SPIRIT_GLOVE_SAPPHIRE_STACKS %> раз"
    	"item_rpc_spirit_glove_amethyst1"									"Увеличивает Дух на @amethyst_property1, каждое очко Духа увеличивает Базовую Силу Атаки на @amethyst_property2"

    	"DOTA_Tooltip_modifier_spirit_glove_stacking_attack_power"		"Spirit Touch (Sapphire)"
    	"DOTA_Tooltip_modifier_spirit_glove_stacking_attack_power_Description"	"Сила Атаки увеличена"

    	"DOTA_Tooltip_ability_item_rpc_spiritual_empowerment_glove"						"Spiritual Empowerment Glove"
 
		"item_property_spiritual_empowerment"				"Spiritual Empowerment"
		"property_spiritual_empowerment_description"		"Каждые <% ITEM_RPC_SPIRITUAL_EMPOWERMENT_GLOVE_TICKRATE %> сек герой получает заряд Spiritual Empowerment. Заряды увеличивают Базовый Урон Способностей на <% ITEM_RPC_SPIRITUAL_EMPOWERMENT_GLOVE_BAD %>%, прочтение заклинаний тратит заряд. Максимум <% ITEM_RPC_SPIRITUAL_EMPOWERMENT_GLOVE_MAX_STACKS %> зарядов."
		"DOTA_Tooltip_modifier_spiritual_empowerment_stack"	"Spiritual Empowerment"
		"DOTA_Tooltip_modifier_spiritual_empowerment_stack_Description"	"Каждый заряд увеличивает Урон Способностей на <% ITEM_RPC_SPIRITUAL_EMPOWERMENT_GLOVE_BAD %>%%"

   		"item_rpc_spiritual_empowerment_glove_ruby1"						"Заряды увеличивают Урон Предметов на @ruby_property1% и Силу Атаки на @ruby_property2%"
    	"item_rpc_spiritual_empowerment_glove_emerald1"						"Увеличивает максимум зарядов на @emerald_property1"
    	"item_rpc_spiritual_empowerment_glove_sapphire1"						"Каждый заряд увеличивает Пробития Брони и Магической Защиты на @sapphire_property1"
    	"item_rpc_spiritual_empowerment_glove_amethyst1"						"Каждый заряд увеличивает Дух героя на @amethyst_property1, и с шансом @amethyst_property2% заряды не потратятся при использовании заклинаний"

		"DOTA_Tooltip_ability_item_rpc_stormcloth_bracer"								"Stormbolt Bracer"

		"item_property_stormcloth"					"Stormbolt"
		"property_stormcloth_description"			"При приказе перемещения к союзному юниту герой телепортируется к нему, оглушая противников поблизости в радиусе <% ITEM_RPC_STORMCLOTH_BRACER_STUN_AOE %> на <% ITEM_RPC_STORMCLOTH_BRACER_STUN_DUR %> сек. Эффект перезаряжается <% ITEM_RPC_STORMCLOTH_BRACER_COOLDOWN %> сек."
		"DOTA_Tooltip_modifier_stormcloth_bracer_cooldown"			"Stormbolt Cooldown"
		"item_rpc_stormcloth_bracer_ruby1"								"Снижает перезарядку эффекта на @ruby_property1 сек"
		"item_rpc_stormcloth_bracer_emerald1"								"Противники также получают урон от эффекта в @emerald_property1% от Силы Атаки героя"
		"item_rpc_stormcloth_bracer_sapphire1"								"После телепортации герой получает @sapphire_property1% бонусную Силу Атаки на <% ITEM_RPC_STORMCLOTH_BRACER_SAPPHIRE_DURATION %> сек"
		"item_rpc_stormcloth_bracer_amethyst1"								"Свиток Телепорта при активации начинает выпускать молнии по все стороны, которые наносят урон в @amethyst_property1% от Силы Атаки героя."

		"DOTA_Tooltip_modifier_stormcloth_sapphire_visible"			"Stormbolt (Sapphire)"
		"DOTA_Tooltip_modifier_stormcloth_sapphire_visible_Description"	"Бонусная Сила Атаки"

		"DOTA_Tooltip_ability_item_rpc_swiftspike_bracer"			"Swiftspike Bracer"

		"item_property_swiftspike_bracer"							"Sonic Overflow"
		"property_swiftspike_bracer_description"					"Каждое очко Скорости Передвижения увеличивает Базовый Урон Способностей на <% ITEM_RPC_SWIFTSPIKE_BRACER_BAD_PER_MS %>%."

		"item_rpc_swiftspike_bracer_ruby1"			"Каждое очко Скорости Передвижения повышает Базовый Урон Атаки на @ruby_property1"
		"item_rpc_swiftspike_bracer_emerald1"			"Увеличивает Ловкость на @emerald_property1. Каждое очко Скорости Передвижения увеличивает Урон Предметов на @emerald_property2%"
		"item_rpc_swiftspike_bracer_sapphire1"			"Лимит Скорости Передвижения увеличен на @sapphire_property1"
		"item_rpc_swiftspike_bracer_amethyst1"			"Скорость Передвижения увеличена на @amethyst_property1%"
