		"DOTA_Tooltip_ability_item_rpc_hurricane_vest"									"飓风背心"
		"item_rpc_blazing_fury_armor_emerald1"								"增加敏捷@emerald_property1 并且增加 <font color=\"#EF4126\">火</font> 元素伤害 @emerald_property2%"
		"item_rpc_blazing_fury_armor_sapphire1"								"普通攻击有<% ITEM_RPC_BLAZING_FURY_SAPPHIRE_CHANCE %>% 概率获得@sapphire_property1 攻击速度和 @sapphire_property2% 攻击力，持续 <% ITEM_RPC_BLAZING_FURY_SAPPHIRE_DURATION %> 秒"
		"item_rpc_blazing_fury_armor_amethyst1"								"获得 @amethyst_property1% 敏捷值的精神值"
		"item_property_blazing_fury_armor"						"炽炎之怒"
		"property_blazing_fury_description"						"提高力量值和智力值，提高值为 <% ITEM_RPC_BLAZING_FURY_ARMOR_AGI_TO_STR_AND_INT %>% 的敏捷值。"
		
		
		"DOTA_Tooltip_ability_item_rpc_outland_stone_cuirass"							"外陆石之甲"
		"item_rpc_outland_stone_cuirass_ruby1"							"增加释放 [Q] 后的眩晕持续时间  @ruby_property1 秒并且增加  [Q] 的基础技能伤害@ruby_property2%"
		"item_rpc_outland_stone_cuirass_emerald1"							"被眩晕后，你将会变为石像并且获得@emerald_property1点护甲和魔甲 "
		"item_rpc_outland_stone_cuirass_sapphire1"							"释放[W] 将会眩晕自己@sapphire_property1 秒，增加 [W] 基础技能伤害  @sapphire_property2%"
		"item_rpc_outland_stone_cuirass_amethyst1"							"降低来自任何来源的眩晕的眩晕持续时间 @amethyst_property1%"
		"item_property_outland_stone"							"爆破融合"
		"property_outland_stone_description"					"提高 @Ability1 的基础技能伤害 <% ITEM_RPC_OUTLAND_STONE_CUIRASS_BAD %>%，但是施法时会将自己眩晕 <% ITEM_RPC_OUTLAND_STONE_CUIRASS_SELF_STUN %> 秒。"
		
		
		"DOTA_Tooltip_ability_item_rpc_direwolf_bulwark"								"刻尔伯罗斯的垒甲"
		"item_property_direwolf"						"地狱撕咬"
		"property_direwolf_description"					"普通攻击将会造成数值为<% ITEM_RPC_DIREWOLF_BULWARK_ARMOR_TO_DMG %>% 目标护甲值的额外伤害。"

		"item_rpc_direwolf_bulwark_ruby1"								"降低被攻击的敌人的攻击力，数值为@ruby_property1%你的物理穿透数值。 "
		"item_rpc_direwolf_bulwark_emerald1"								"增加地狱撕咬系数 @emerald_property1% "
		"item_rpc_direwolf_bulwark_sapphire1"								"增加物理穿透 @sapphire_property1"
		"item_rpc_direwolf_bulwark_amethyst1"								"普通攻击造成@amethyst_property1% 目标魔甲的魔法伤害 "
		
		
		 "DOTA_Tooltip_ability_item_rpc_armor_of_atlantis"                       "亚特兰帝斯之甲"
		"item_property_armor_of_atlantis"								"钢筋铁骨"
		"property_armor_of_atlantis_Description"					"每损失1%生命值提供<% ITEM_RPC_ARMOR_OF_ATLANTIS_DMG_REDUCTION_PCT_PER_MISSING_HP_PCT %>% 伤害减免。这个伤害减免不能高于 <% ITEM_RPC_ARMOR_OF_ATLANTIS_MAX_DMG_REDUCTION_PCT %>%。"
		"DOTA_Tooltip_modifier_armor_of_atlantis"					"钢筋铁骨"
		"DOTA_Tooltip_modifier_armor_of_atlantis_Description"		"获得基于丢失生命值百分比的伤害减免"

		"item_rpc_armor_of_atlantis_ruby1"			"增加每%丢失生命值提供的伤害减免@ruby_property1%"
		"item_rpc_armor_of_atlantis_emerald1"			"降低致命伤害 @emerald_property1%"
		"item_rpc_armor_of_atlantis_sapphire1"			"每点丢失生命值提供 @sapphire_property1 点基础攻击力"
		"item_rpc_armor_of_atlantis_amethyst1"			"增加最大生命值 @amethyst_property1"
		
		
		"DOTA_Tooltip_ability_item_rpc_templar_light_seers_robe"			"圣堂光之袍"	
		"item_rpc_templar_light_seers_robe_ruby1"			"增加力量和精神 @ruby_property1点"
		"item_rpc_templar_light_seers_robe_emerald1"			"增加最大护盾层数 @emerald_property1"
		"item_rpc_templar_light_seers_robe_sapphire1"			"现在这个效果也会施加给 @sapphire_property1 范围内的友军"
		"item_rpc_templar_light_seers_robe_amethyst1"			"获得 @amethyst_property1x 精神的治疗量"
		"property_light_seer"												"德尔福之光"
		"property_light_seer_Description"									"当吟唱 @Ability4 时，每 <% ITEM_RPC_TEMPLAR_LIGHT_SEERS_ROBE_TICKRATE %>秒治疗 <% ITEM_RPC_TEMPLAR_LIGHT_SEERS_ROBE_HP_PCT_PER_TICK %>% 的最大生命值。每次治疗都会额外获得一层护盾，吸收一次伤害。吟唱结束后，每秒都会减少一层护盾。"
		"DOTA_Tooltip_modifier_light_seer_shield"							"德尔福之盾"
		"DOTA_Tooltip_modifier_light_seer_shield_Description"				"每层护盾抵挡一次伤害"
		
		
		"DOTA_Tooltip_ability_item_rpc_empyreal_sunrise_robe"					"苍穹日出袍"	
		"item_rpc_empyreal_sunrise_robe_ruby1"					"增加你的最低属性值@ruby_property1"
		"item_rpc_empyreal_sunrise_robe_emerald1"					"获得数值为@emerald_property1x 最低属性值的基础攻击力"
		"item_rpc_empyreal_sunrise_robe_sapphire1"					"获得数值为@sapphire_property1x 最低属性的魔法穿透"
		"item_rpc_empyreal_sunrise_robe_amethyst1"					"获得数值为 @amethyst_property1x 最低属性值的魔甲"
		"property_tropical_sunrise"												"散失觉醒"
		"property_tropical_sunrise_Description"									"最低的属性值将提高 <% ITEM_RPC_EMPYREAL_SUNRISE_ROBE_LOWEST_ATT_AMP * 100 %>%"
		
		
		"DOTA_Tooltip_ability_item_rpc_sea_giants_plate"					"海巨人之甲"	
		"property_sea_giant_plate"												"刚毅泰坦"
		"property_sea_giant_plate_Description"									"增加状态抗性<% ITEM_RPC_SEA_GIANTS_PLATE_STATUS_RESIST %>%。"
		
		"item_rpc_sea_giants_plate_ruby1"					"每点力量额外提供 @ruby_property1 点最大生命值"
		"item_rpc_sea_giants_plate_emerald1"					"增加力量并且降低敏捷 @emerald_property1"
		"item_rpc_sea_giants_plate_sapphire1"					"普通攻击有 <% ITEM_RPC_SEA_GIANTS_PLATE_SAPPHIRE_CHANCE %>概率眩晕  <% ITEM_RPC_SEA_GIANTS_PLATE_SAPPHIRE_RADIUS %> 范围内的敌人@sapphire_property1 秒并且造成 @sappire_property2x 力量值的伤害"
		"item_rpc_sea_giants_plate_amethyst1"					"获得数值为 @amethyst_property1% 力量的精神值"
		
		
		"DOTA_Tooltip_ability_item_rpc_boreal_granite_vest"	"北地花岗岩胸甲"
		"item_rpc_boreal_granite_vest_ruby1"			"每秒获得一层北地花岗岩充能，最高5层。每层充能提高合抱之力的触发概率 @ruby_property1%。释放 [Q] 后移除所有充能"
		"item_rpc_boreal_granite_vest_emerald1"			"增加 [Q1]和 [Q2]等级  @emerald_property1"
		"item_rpc_boreal_granite_vest_sapphire1"		"增加 [Q3] 等级  @sapphire_property1"
		"item_rpc_boreal_granite_vest_amethyst1"		"增加[Q] 的基础技能伤害 @amethyst_property1%"
		"item_property_boreal_granite"						"合抱之力"
		"property_boreal_granite_description"				"受到一个敌人攻击时，有 <% ITEM_RPC_BOREAL_GRANITE_VEST_CHANCE %>% 的几率立刻释放 @Ability1 （需要敌人在施法距离之内）。 @Ability1的冷却时间会立刻重置。 技能的施法目标为攻击的目标或者位置。"
		
		
		"DOTA_Tooltip_ability_item_rpc_captains_vest"		"船长背心"
		"item_rpc_captains_vest_ruby1"		"增加坚定的决心提供的力量 @ruby_property1%"
		"item_rpc_captains_vest_emerald1"		"增加坚定的决心提供的敏捷 @emerald_property1%"
		"item_rpc_captains_vest_sapphire1"		"增加坚定的决心提供的智力@sapphire_property1%"
		"item_rpc_captains_vest_amethyst1"		"增加坚定的决心提供的精神 @amethyst_property1%"
		"item_property_captains_vest"						"坚定的决心"
		"property_captains_vest_description"				"Q1/2/3/4符文提高力量<% ITEM_RPC_CAPTAINS_VEST_Q1 * ITEM_RPC_CAPTAINS_VEST_INTERNAL_MULTIPLIER_OF_STACKS %>/<% ITEM_RPC_CAPTAINS_VEST_Q2 * ITEM_RPC_CAPTAINS_VEST_INTERNAL_MULTIPLIER_OF_STACKS %>/<% ITEM_RPC_CAPTAINS_VEST_Q3 * ITEM_RPC_CAPTAINS_VEST_INTERNAL_MULTIPLIER_OF_STACKS %>/<% ITEM_RPC_CAPTAINS_VEST_Q4 * ITEM_RPC_CAPTAINS_VEST_INTERNAL_MULTIPLIER_OF_STACKS %>。 W1/2/3/4符文提高智力<% ITEM_RPC_CAPTAINS_VEST_W1 * ITEM_RPC_CAPTAINS_VEST_INTERNAL_MULTIPLIER_OF_STACKS %>/<% ITEM_RPC_CAPTAINS_VEST_W2 * ITEM_RPC_CAPTAINS_VEST_INTERNAL_MULTIPLIER_OF_STACKS %>/<% ITEM_RPC_CAPTAINS_VEST_W3 * ITEM_RPC_CAPTAINS_VEST_INTERNAL_MULTIPLIER_OF_STACKS %>/<% ITEM_RPC_CAPTAINS_VEST_W4 * ITEM_RPC_CAPTAINS_VEST_INTERNAL_MULTIPLIER_OF_STACKS %>。 E1/2/3/4符文提高敏捷<% ITEM_RPC_CAPTAINS_VEST_E1 * ITEM_RPC_CAPTAINS_VEST_INTERNAL_MULTIPLIER_OF_STACKS %>/<% ITEM_RPC_CAPTAINS_VEST_E2 * ITEM_RPC_CAPTAINS_VEST_INTERNAL_MULTIPLIER_OF_STACKS %>/<% ITEM_RPC_CAPTAINS_VEST_E3 * ITEM_RPC_CAPTAINS_VEST_INTERNAL_MULTIPLIER_OF_STACKS %>/<% ITEM_RPC_CAPTAINS_VEST_E4 * ITEM_RPC_CAPTAINS_VEST_INTERNAL_MULTIPLIER_OF_STACKS %>。 R1/2/3/4符文提高全属性<% ITEM_RPC_CAPTAINS_VEST_R1 * ITEM_RPC_CAPTAINS_VEST_INTERNAL_MULTIPLIER_OF_STACKS %>/<% ITEM_RPC_CAPTAINS_VEST_R2 * ITEM_RPC_CAPTAINS_VEST_INTERNAL_MULTIPLIER_OF_STACKS %>/<% ITEM_RPC_CAPTAINS_VEST_R3 * ITEM_RPC_CAPTAINS_VEST_INTERNAL_MULTIPLIER_OF_STACKS %>/<% ITEM_RPC_CAPTAINS_VEST_R4 * ITEM_RPC_CAPTAINS_VEST_INTERNAL_MULTIPLIER_OF_STACKS %>。"
		
		
		"DOTA_Tooltip_ability_item_rpc_tattered_novice_armor"		"残破学徒装甲"
		"item_property_tattered_novice_armor"						"冒险者试炼"
		"property_tattered_novice_armor_description"				"每 <% ITEM_RPC_TATTERED_NOVICE_ARMOR_LEVELS %> 级获得额外<% ITEM_RPC_TATTERED_NOVICE_ARMOR_EXTRA_RUNE_POINTS %> 符文等级。这些符文随着装备该物品立刻生效并且卸下后立刻移除。"
		"item_rpc_tattered_novice_armor_ruby1"		"在<% ITEM_RPC_TATTERED_NOVICE_ARMOR_RUBY_RADIUS %>范围内死亡的敌人有 @ruby_property1%概率额外掉落一个药水"
		"item_rpc_tattered_novice_armor_emerald1"		"增加属性成长 @emerald_property1%。额外属性随装备该物品时生效，随着移除而移除。"
		"item_rpc_tattered_novice_armor_sapphire1"		"每级获得@sapphire_property1 护甲/魔甲/物理穿透/魔法穿透"
		"item_rpc_tattered_novice_armor_amethyst1"		"增加神话品质及更低品质的物品属性@amethyst_property1% "

		"DOTA_Tooltip_ability_item_rpc_robe_of_the_erudite_teacher"		"博学尊师长袍"
		"item_rpc_robe_of_the_erudite_teacher_ruby1"		"增加学徒的最大生命值@ruby_property1点"
		"item_rpc_robe_of_the_erudite_teacher_emerald1"		"降低学徒的重生时间 @emerald_property1 秒"
		"item_rpc_robe_of_the_erudite_teacher_sapphire1"		"增加学徒攻击力 @sapphire_property1点"
		"item_rpc_robe_of_the_erudite_teacher_amethyst1"		"增加物品伤害 @amethyst_property1%"

		"item_property_robe_of_the_erudite_teacher"						"拉比克学徒"

		"property_robe_of_the_erudite_teacher_description"				"当你装备该装备时，一个拉比克学徒将会跟随着你。这个学徒能够学习敌人的技能，最多能学习3个。他的生命值为你的<% ITEM_RPC_ROBE_OF_THE_ERUDITE_TEACHER_HEALTH_MULT %>x ，攻击力为你的 <% ITEM_RPC_ROBE_OF_THE_ERUDITE_TEACHER_ATTACK_MULT %>x ，以及2000魔法值。如果学徒死亡了，他会在10秒后复活并且仍然具有死前拥有的技能，这个学徒造成的任何伤害均视为英雄的物品伤害。"



		"DOTA_Tooltip_ability_apprentice_spell_steal_1"					"技能窃取"

		"DOTA_Tooltip_ability_apprentice_spell_steal_1_Description"		"复制一个被控制的敌人的技能。如果敌人的技能无法复制或者窃取的是和已经具有的技能相同的技能时，这个技能会失败。"



		"DOTA_Tooltip_ability_apprentice_spell_steal_2"					"技能窃取"

		"DOTA_Tooltip_ability_apprentice_spell_steal_2_Description"		"复制一个被控制的敌人的技能。如果敌人的技能无法复制或者窃取的是和已经具有的技能相同的技能时，这个技能会失败。"



		"DOTA_Tooltip_ability_apprentice_spell_steal_3"					"技能窃取"

		"DOTA_Tooltip_ability_apprentice_spell_steal_3_Description"		"复制一个被控制的敌人的技能。如果敌人的技能无法复制或者窃取的是和已经具有的技能相同的技能时，这个技能会失败。"



		"DOTA_Tooltip_ability_rubick_apprentice_reset"					"重置"

		"DOTA_Tooltip_ability_rubick_apprentice_reset_Description"		"移除学徒已学习的所有技能"



		"DOTA_Tooltip_ability_item_rpc_alien_armor"		"外星装甲"
		"item_rpc_alien_armor_ruby1"		"增加最大同时可存在幻象数量@ruby_property1"
		"item_rpc_alien_armor_emerald1"		"增加幻象的攻击速度@emerald_property1点"
		"item_rpc_alien_armor_sapphire1"		"@sapphire_property1%施法者的攻击力加入到幻象的基础攻击力中 "
		"item_rpc_alien_armor_amethyst1"		"增加幻象的持续时间@amethyst_property1 秒"

		"property_alien_armor"							"碳合"

		"property_alien_armor_description"				"释放 @Ability4 后将会产生一个幻象，幻象具有额外 0 攻击速度，并且视作物品伤害。这个幻象造成本体<% ITEM_RPC_ALIEN_ARMOR_OUTGOING_DAMAGE_MULT%>x 的伤害，承受伤害降低 <% ITEM_RPC_ALIEN_ARMOR_INCOMING_DAMAGE_REDUCTION %>% 并且持续 <% ITEM_RPC_ALIEN_ARMOR_ILLUSION_DURATION %> 秒。如果装备持有者在幻象存在时死亡，只要这段时间内幻象存在，那么装备持有者将会在<% ITEM_RPC_ALIEN_ARMOR_RESPAWN_DELAY %>秒后在幻象附近随机位置重生。"



		"DOTA_Tooltip_ability_item_rpc_nethergrasp_palisade"		"幽冥之握之甲"
		"item_rpc_nethergrasp_palisade_ruby1"		"增加最大掌握距离和断裂距离 @ruby_property1 并且增加最大同时存在掌握数 @ruby_property2"
		"item_rpc_nethergrasp_palisade_emerald1"		"普通攻击被掌握的敌人将会造成 @emerald_property1% 攻击力的 <font color=\"#B5FFB7\">时</font> 纯粹伤害。这个效果会覆盖普通攻击的伤害(即普通攻击只会造成这个效果的纯粹伤害)。"
		"item_rpc_nethergrasp_palisade_sapphire1"		"攻击距离内的敌人对你造成的伤害降低 @sapphire_property1%并且增加掌握抓取速度  @sapphire_property2"
		"item_rpc_nethergrasp_palisade_amethyst1"		"降低被抓取的敌人的攻击速度 @amethyst_property1点并且不能被治疗。"

		"item_property_nethergrasp"							"彼世掌握"

		"property_nethergrasp_description"				"对敌人发出攻击指令将会在目标周围产生一个彼世掌握。被抓取的敌人每 <% ITEM_RPC_NETHERGRASP_PALISADE_ATTACK_INTERVAL %> 秒受到一次来自施法者的攻击，在施法者攻击距离以外的敌人将会被拉向彼世掌握的中心。最多可以同时连接<% ITEM_RPC_NETHERGRASP_PALISADE_MAX_LINKS %>个敌人，但是攻击将会被所有敌人分摊。 产生连接的最大距离为 <% ITEM_RPC_NETHERGRASP_PALISADE_LINK_RANGE %> ，并且如果施法者和敌人距离超出 <% ITEM_RPC_NETHERGRASP_PALISADE_BREAK_DISTANCE %>.码时，链接将会断开。"



		"DOTA_Tooltip_modifier_nethergrasp_linked"		"彼世掌握"

"DOTA_Tooltip_modifier_nethergrasp_linked_Description" "被施法者的攻击吞噬" 
